channel_name,Title,Video_id,Published_date,Month,Views,Likes,Comments,Duration
John John Florence,Florence Hooded Rashguard,H9Als1VXMiM,2023-06-19 20:42:21+00:00,Jun,32460,712,44,0 days 00:03:49
John John Florence,Donating 8s,MVg526Oqfd4,2023-04-07 00:39:35+00:00,Apr,30592,1139,21,0 days 00:00:26
John John Florence,Better to ask for help,coRuhSk1bbw,2023-04-05 19:41:31+00:00,Apr,73219,3015,66,0 days 00:00:15
John John Florence,I don’t know where you’re going,emTGR_k0bys,2023-04-04 20:32:04+00:00,Apr,31916,1590,26,0 days 00:00:19
John John Florence,Great Ocean Road,1zFAckL9mzw,2023-03-28 21:36:11+00:00,Mar,278548,5059,283,0 days 00:18:20
John John Florence,Red Tiger / White Tiger with Pyzel,qqT9B88adog,2023-03-06 21:12:26+00:00,Mar,129235,2092,181,0 days 00:09:01
John John Florence,NS Slot Machine,SfUWAc_J_9o,2023-03-02 21:48:00+00:00,Mar,382667,3924,244,0 days 00:05:31
John John Florence,Traffic In The Sky,S2uBU_XbRXI,2023-02-22 21:55:29+00:00,Feb,100200,1937,109,0 days 00:03:15
John John Florence,"Favorite wave, favorite place to compete",bIbS_fxwHaQ,2023-02-09 18:40:54+00:00,Feb,47483,2110,38,0 days 00:00:12
John John Florence,Calibrating,S3pR5DUhdH0,2023-02-05 01:28:34+00:00,Feb,59779,2958,54,0 days 00:00:13
John John Florence,One from Friday Morning,kihSap7-apw,2023-02-03 23:57:22+00:00,Feb,59766,2677,38,0 days 00:00:14
John John Florence,Friday Morning,A5e_3DbzPL8,2023-02-03 18:06:24+00:00,Feb,249297,4393,277,0 days 00:04:10
John John Florence,Off day for Pipe event,qCBFPPwbr88,2023-02-02 22:53:30+00:00,Feb,30720,1391,24,0 days 00:00:50
John John Florence,JOHN JOHN AT WAIMEA BAY,6FRJPALY_3U,2023-01-05 20:13:32+00:00,Jan,696177,5418,351,0 days 00:05:58
John John Florence,Someone Has to Go,fAjqBCKA6TM,2022-12-13 21:14:59+00:00,Dec,318845,4534,194,0 days 00:03:36
John John Florence,Out Front,ruheVtUl0mk,2022-12-08 19:29:00+00:00,Dec,472342,3047,119,0 days 00:07:36
John John Florence,Paint it Black,SgoLVn8qQBg,2022-12-07 22:03:51+00:00,Dec,32852,1041,24,0 days 00:00:07
John John Florence,After the buzzer. Haleiwa 🚩,DMoFw_Vu5uA,2022-12-06 22:12:37+00:00,Dec,90724,4130,54,0 days 00:00:29
John John Florence,During an hour at Pipe,JjKugyaa4wQ,2022-12-01 18:40:22+00:00,Dec,492725,4105,209,0 days 00:06:41
John John Florence,The Day Before Yesterday,Zu7oxLxGsPg,2022-11-29 16:26:52+00:00,Nov,426100,3392,184,0 days 00:04:18
John John Florence,"""GRAVITY"" – Official Trailer || feat. John John Florence",-65CjFaL6n8,2022-09-22 23:57:29+00:00,Sep,108989,1500,75,0 days 00:01:01
John John Florence,#VelaDispatch 008,FJADEmHyn84,2022-09-22 19:56:53+00:00,Sep,14840,482,9,0 days 00:01:01
John John Florence,#VelaDispatch 007,Tvz_EYaRL6o,2022-09-19 23:13:37+00:00,Sep,26065,1155,18,0 days 00:00:58
John John Florence,#VelaDispatch 006,CqxHdyHlVnI,2022-09-15 20:43:47+00:00,Sep,22600,1011,26,0 days 00:01:00
John John Florence,#VelaDispatch 005,33SxdldhExg,2022-09-01 20:09:27+00:00,Sep,11284,508,5,0 days 00:00:20
John John Florence,#VelaDispatch 004,IZ2W1cMJRGc,2022-08-30 20:58:50+00:00,Aug,10295,417,13,0 days 00:00:38
John John Florence,#VelaDispatch 003,f4Kfx3x2Rvw,2022-08-26 19:18:11+00:00,Aug,13845,613,15,0 days 00:00:37
John John Florence,#VelaDispatch 002,aQAozCkdoIY,2022-08-25 19:19:34+00:00,Aug,7649,259,4,0 days 00:00:09
John John Florence,JJF by Pyzel Board Design,EsszyBARnaE,2022-08-22 20:42:18+00:00,Aug,44045,761,45,0 days 00:04:55
John John Florence,#VelaDispatch 001,DOs9CYsKUaQ,2022-08-22 20:39:20+00:00,Aug,11513,452,9,0 days 00:00:54
John John Florence,#VelaDispatch 000,GYAY1GoFAJ4,2022-08-19 22:46:43+00:00,Aug,18453,944,28,0 days 00:00:33
John John Florence,Australia 2022,FUGBjMUP36E,2022-06-23 20:05:06+00:00,Jun,63543,1942,74,0 days 00:01:44
John John Florence,Surfing through Portugal,dexWs7urJtk,2022-03-31 21:04:04+00:00,Mar,686567,9749,388,0 days 00:06:24
John John Florence,Single Fins at Pipeline,q8xFL5suph8,2022-02-24 00:08:36+00:00,Feb,228916,2248,139,0 days 00:03:16
John John Florence,Fun boards on Small waves,rifVNhThMq0,2022-02-14 22:27:03+00:00,Feb,209962,2474,121,0 days 00:03:50
John John Florence,Between heats with Ivan and Nate,8oOn_f2npfQ,2022-02-01 01:31:34+00:00,Feb,30056,748,35,0 days 00:01:01
John John Florence,Kelly calls a Backdoor wave,Rl0aJk3RPpE,2022-01-31 22:18:25+00:00,Jan,55931,1338,29,0 days 00:00:24
John John Florence,Backdoor Alley Oop,IhgK70d62JA,2022-01-26 20:05:13+00:00,Jan,84123,1931,112,0 days 00:00:58
John John Florence,Interference with Jamie,r59Dz8kello,2022-01-26 20:04:29+00:00,Jan,117001,2664,171,0 days 00:00:55
John John Florence,VFABM Outtakes — WA,T0bMSZMKIHs,2022-01-26 20:04:02+00:00,Jan,39701,808,45,0 days 00:01:01
John John Florence,2 Days of Sand,djePh9_DGu4,2022-01-26 20:03:35+00:00,Jan,51038,942,48,0 days 00:00:52
John John Florence,Doubles at the Box with Jack Robinson,YgmU1DfKr8s,2022-01-26 20:03:28+00:00,Jan,121281,1471,65,0 days 00:01:11
John John Florence,The other side of Snapper,hIPthtbSnZM,2022-01-26 20:03:17+00:00,Jan,70469,923,91,0 days 00:01:05
John John Florence,"""FORM"" || feat. John John Florence",PgNxW6h4c0s,2022-01-13 19:34:31+00:00,Jan,610586,10668,505,0 days 00:11:07
John John Florence,"""FORM"" -- Official Trailer || feat. John John Florence",hxixwebpF0c,2022-01-10 20:26:41+00:00,Jan,44843,1041,41,0 days 00:00:36
John John Florence,Triple Crown 2020,IryC0LpgiIM,2021-11-15 20:07:53+00:00,Nov,207356,2890,140,0 days 00:01:51
John John Florence,Points South with Dave Rastovich,A5oD6RhwCi0,2021-11-11 20:23:49+00:00,Nov,458675,5083,228,0 days 00:10:23
John John Florence,Sandbar Double-up,EqiOAkgIDao,2021-10-28 19:43:13+00:00,Oct,219607,3720,181,0 days 00:00:43
John John Florence,Alley Oop from View,3Olwgc4DcH8,2021-10-28 19:43:08+00:00,Oct,181219,4222,219,0 days 00:00:45
John John Florence,Hobie crash with Travis and Jamie,gOC6OHlVTnc,2021-10-28 19:43:03+00:00,Oct,185181,1538,97,0 days 00:01:00
John John Florence,Backflip in AUS,CrDKiLDDUcc,2021-10-28 19:42:57+00:00,Oct,67548,2107,92,0 days 00:00:40
John John Florence,Backdoor,YN1zg2xIaoY,2021-10-28 19:42:49+00:00,Oct,65714,1584,80,0 days 00:00:45
John John Florence,Backflip at Margaret River,VycV-avmCGc,2021-10-28 19:42:41+00:00,Oct,99251,2484,152,0 days 00:00:34
John John Florence,Get Out There and Explore,nJIUe0lMb6g,2021-10-20 00:04:14+00:00,Oct,77450,3060,131,0 days 00:02:32
John John Florence,Slow it Down Vol. 2 -- First swell of the winter,lwGQARVWZF0,2021-09-28 22:01:13+00:00,Sep,194286,2955,169,0 days 00:10:59
John John Florence,Tapping the Well -- Speed and Fin Design,ahQ9OJKMYkw,2021-09-21 19:04:54+00:00,Sep,109029,2029,122,0 days 00:04:31
John John Florence,If I was goofy -- JJF surfing the other way,mMKfv5ueXZA,2021-09-13 23:22:49+00:00,Sep,582864,4913,359,0 days 00:03:06
John John Florence,John John in Europe -- LE VIEUX MONDE EN ROUGE,49Fm2KTovQ8,2021-08-31 19:11:39+00:00,Aug,185119,3165,161,0 days 00:19:05
John John Florence,John Florence & Jordy Smith -- On The Process,PPRKcqB3J2g,2021-08-16 18:00:51+00:00,Aug,294125,5827,449,0 days 00:37:54
John John Florence,Back to Oz 2021,rX4TYwD5PA0,2021-08-05 23:07:29+00:00,Aug,180918,2974,129,0 days 00:10:13
John John Florence,Maps of Home -- Outer Reef full session,YmGMYZA5kXQ,2021-06-08 04:27:42+00:00,Jun,152307,3425,159,0 days 00:07:50
John John Florence,Maps of Home - ACTION EDIT,uH6vpE5rv_8,2021-05-18 22:21:14+00:00,May,320196,3587,159,0 days 00:03:05
John John Florence,The Ones That Got Away,BqJjOTYzTR8,2021-05-12 18:45:50+00:00,May,279831,2703,120,0 days 00:02:52
John John Florence,"""Maps of Home"" feat. John John Florence",n3NS9bPa5qY,2021-04-30 19:00:24+00:00,Apr,1622046,17908,845,0 days 00:21:46
John John Florence,Slow it Down — Surfing Rockies @ 300 frames per second,g-C25diaMaM,2021-03-25 20:24:29+00:00,Mar,358318,6157,344,0 days 00:06:30
John John Florence,Last Call at Home,fxywwbsutIc,2021-03-17 23:40:52+00:00,Mar,149654,2679,159,0 days 00:05:00
John John Florence,RETURN OF THE SANDBAR,yjjaQU7xiLk,2021-02-16 18:00:11+00:00,Feb,271752,5063,268,0 days 00:03:47
John John Florence,Last Surf Clips of 2020 w/ Nate & Ivan,ySR8RlqaoV8,2021-01-15 17:55:15+00:00,Jan,129075,2871,164,0 days 00:02:31
John John Florence,John John & Kelly surf the sandbar -- WINTER 20/21,xXXcvsqIC2g,2020-12-31 00:34:37+00:00,Dec,418344,4377,201,0 days 00:02:07
John John Florence,WEEK BEFORE PIPE MASTERS - JOHN JOHN FLORENCE,oLz5_THzLHc,2020-12-22 20:29:34+00:00,Dec,319762,5457,328,0 days 00:06:05
John John Florence,"29 more waves, still at home",tZyAerrf5ho,2020-12-04 21:08:02+00:00,Dec,293467,4249,283,0 days 00:02:44
John John Florence,FOILING 15 MILES DOWNWIND,PHNKbOv-V-M,2020-11-16 23:21:37+00:00,Nov,91936,1697,67,0 days 00:02:03
John John Florence,"""TOKYO RISING"" Trailer",QTuNFkLRXx4,2020-11-09 17:14:56+00:00,Nov,121258,2935,114,0 days 00:01:31
John John Florence,26 waves from home,Mp2w-thzZ7U,2020-10-27 18:25:21+00:00,Oct,201385,4324,264,0 days 00:02:45
John John Florence,"""CROSSINGS"" feat. KAI LENNY & JOHN FLORENCE",Pg33wkPYM5E,2020-09-17 18:33:30+00:00,Sep,208984,4390,262,0 days 00:21:54
John John Florence,VELA behind the scenes w/ Ron Artis II,ksToBqdOJ7E,2020-09-10 21:12:49+00:00,Sep,63892,1935,114,0 days 00:03:44
John John Florence,Around O'ahu || John John & Lauryn on Vela,_KHNUZm8e8Y,2020-09-04 20:00:53+00:00,Sep,163458,3551,175,0 days 00:16:17
John John Florence,Flying without Foils | John John tests new shortboard surfing at home,Wj_LzcW1BSg,2020-05-09 00:24:40+00:00,May,233610,3119,222,0 days 00:05:07
John John Florence,"""VELA"" Episode 4 of 4 | John John Florence",YokXggc07Xw,2020-04-22 17:59:24+00:00,Apr,340890,7316,476,0 days 00:16:54
John John Florence,"""VELA"" Episode 3 of 4 | John John Florence",lqGy82xt9EQ,2020-04-22 17:58:04+00:00,Apr,419972,6798,270,0 days 00:13:23
John John Florence,"""VELA"" Episode 2 of 4 | John John Florence",mLPxLIhcdT8,2020-04-11 17:39:27+00:00,Apr,428306,6485,286,0 days 00:09:43
John John Florence,"""VELA"" Episode 1 of 4 | John John Florence",hmH3XMlms8E,2020-04-11 17:35:48+00:00,Apr,743017,10710,353,0 days 00:13:33
John John Florence,Pyzel and John John | Q&A on Board Design and shaping,HBQNJois85I,2020-04-09 05:23:04+00:00,Apr,320824,4361,228,0 days 00:34:22
John John Florence,John John travels to Kelly's Wave Pool | WINTER 2020,tszjuTQ9bc0,2020-03-31 20:47:30+00:00,Mar,1151856,9169,404,0 days 00:06:46
John John Florence,Florence Air Camp back on | Winter 2020,2e6JtxXXi4A,2020-03-27 03:35:42+00:00,Mar,139219,2435,126,0 days 00:03:55
John John Florence,John v brothers & Eli at home | Best carve/air combo takes it | North Shore 2020,785P_7EC8B4,2020-03-24 19:52:55+00:00,Mar,135777,2267,132,0 days 00:04:12
John John Florence,"John John vs Nathan | Haleiwa, Winter 2020",Mp80NUrzvCo,2020-03-19 23:34:43+00:00,Mar,356034,4214,207,0 days 00:06:58
John John Florence,"Air session w/ John John, Matt Meola, and Albee Layer",k3oNcxKvLNI,2020-02-05 18:30:02+00:00,Feb,92373,2101,56,0 days 00:03:01
John John Florence,North Shore sandbars w/ John John Florence,ho4u8Y5vXyw,2020-01-02 22:41:28+00:00,Jan,818300,8952,334,0 days 00:04:33
John John Florence,John John Florence wins 2019 Margaret River Pro,bDfUy14GaeI,2019-11-22 20:55:49+00:00,Nov,193282,2701,136,0 days 00:11:04
John John Florence,John Florence & Indonesia - the 2019 WSL Bali Pro,iTzyJt0CWXQ,2019-09-25 15:59:15+00:00,Sep,236983,2954,175,0 days 00:12:38
John John Florence,"""DONE"" Full Length Film",EWk_kju3U_k,2019-09-25 07:54:12+00:00,Sep,676602,6772,307,0 days 00:23:40
John John Florence,John John Florence and friends surf large Teahupoo - 2011,AdnTyNAVt8s,2019-08-29 15:59:11+00:00,Aug,392230,3209,107,0 days 00:03:47
John John Florence,Scoring a sandbar down from Pipe | John John during Winter 2017,AfYCw4ea-vw,2019-08-20 17:25:20+00:00,Aug,250643,3592,159,0 days 00:05:26
John John Florence,"Tahiti from Below | Underwater footage of John John, Koa S, and Bruce",1waqQQqM6ew,2019-08-01 18:01:50+00:00,Aug,183781,5096,201,0 days 00:04:39
John John Florence,"""No more bottom turns"" | John John Florence Surfing Bells Beach 2019",W10VK8znSao,2019-07-25 18:20:16+00:00,Jul,187759,2129,89,0 days 00:05:44
John John Florence,John John Florence Surf Film Highlights 2011 - 2019,gCrHFJI2aFU,2019-07-23 18:00:40+00:00,Jul,127292,1914,81,0 days 00:01:31
John John Florence,"“I just want to go fast” - John John surfing North Shore, Oahu, Winter '17/'18,",7glCv7ocfxc,2019-07-17 00:16:50+00:00,Jul,280016,3611,157,0 days 00:03:28
John John Florence,John John on the Gold Coast with Pyzel Surfboards,TnRGwXHlRq4,2019-07-04 17:50:28+00:00,Jul,209104,2287,157,0 days 00:06:52
John John Florence,Behind the scenes with John John at Snapper and Duranbah for the 2019 Gold Coast Pro,tWp_190Sycs,2019-06-27 07:19:03+00:00,Jun,142518,1430,72,0 days 00:06:58
